Ano;Já foi atendido pelo CRAI?;Tipo de Atendimento;País de origem;Distrito de residência;Como ficou sabendo do serviço?;Escolaridade;Raça/Cor/Etnia declarada;Profissão;Relação de trabalho;Condição de moradia;Identidade de gênero;Orientação sexual;Idioma materno;Situação migratória atual;Foi vítima de violência?;Identifique o tipo de violação;Demanda do atendimento ;Total
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Amigos/Parentes;Fundamental Incompleto;Preta;Pedreiro;Desempregada(o);Alugado;Homem Cisgênero;Não informado;Crioulo Haitiano;Autorização de residência por prazo indeterminado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Amigos/Parentes;Médio Completo;Indígena;Não informado;Não informado;Alugado;Outras identidades;Não informado;Espanhol;Residente fronteiriço;Não informado;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Amigos/Parentes;Médio Completo;Parda;COSTURA ;Não informado;Alugado;Homem Cisgênero;Heterossexual;Espanhol;Indocumentado / Irregular;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Amigos/Parentes;Médio Completo;Parda;COSTUREIRA ;Desempregada(o);Alugado;Mulher Cisgênero;Heterossexual;Espanhol;Indocumentado / Irregular;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Amigos/Parentes;Médio Completo;Parda;costureiro ;Autônomo;Alugado;Homem Cisgênero;Heterossexual;Espanhol;Outra;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Amigos/Parentes;Médio Completo;Preta;Costureira;Empregada(o) com carteira;Alugado;Outras identidades;Heterossexual;Crioulo Haitiano;Autorização de residência temporária;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Amigos/Parentes;Médio Incompleto;Preta;estudante ;Desempregada(o);Alugado;Não declarada;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Não informado;Ensino Técnico Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Francês;Refugiado;Não informado;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Não informado;Fundamental Incompleto;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Homem Cisgênero;Não informado;Espanhol;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Não informado;Médio Completo;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Francês;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Não informado;Médio Completo;Indígena;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Francês;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Não informado;Médio Incompleto;Preta;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Português;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Não informado;Superior Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Não informado;Superior Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Não informado;Superior Incompleto;Preta;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Português;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Artur Alvim;Outras instituições/organizações;Médio Incompleto;Preta;Comerciante;Não trabalha;Alugado;Mulher Cisgênero;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não;Não informado;Acesso a programas de cidadania;1
2020;Primeiro Atendimento;Presencial;OUTRO;Barra Funda;Amigos/Parentes;Médio Completo;Indígena;Ajudante de costura ;Autônomo;Alugado;Homem Cisgênero;Heterossexual;Espanhol;Indocumentado / Irregular;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Barra Funda;Amigos/Parentes;Médio Completo;Indígena;Artesão;Autônomo;Alugado;Homem Cisgênero;Heterossexual;Espanhol;Indocumentado / Irregular;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Barra Funda;Não informado;Médio Completo;Parda;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Barra Funda;Não informado;Médio Completo;Parda;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Crioulo Haitiano;Autorização de residência temporária;Não informado;Não informado;Orientações diversas;1
2020;Primeiro Atendimento;Presencial;OUTRO;Barra Funda;Não informado;Médio Completo;Parda;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Barra Funda;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Amigos/Parentes;Fundamental Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Amigos/Parentes;Fundamental Incompleto;Branca;Não informado;Não informado;Alugado;Não declarada;Não informado;Espanhol;Solicitante de reconhecimento da condição de refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Amigos/Parentes;Fundamental Incompleto;Preta;Não informado;Não informado;Alugado;Outras identidades;Não informado;Lingala;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Amigos/Parentes;Médio Completo;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Solicitante de reconhecimento da condição de refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Amigos/Parentes;Médio Incompleto;AFRICANA ;AJUDANTE DE PEDREIRO ;Autônomo;Alugado;Homem Cisgênero;Heterossexual;Português;Solicitante de reconhecimento da condição de refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Amigos/Parentes;Médio Incompleto;Branca;GARÇÃO ;Não Declarado;Alugado;Homem Cisgênero;Heterossexual;Espanhol;Indocumentado / Irregular;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Amigos/Parentes;Médio Incompleto;Parda;Cuidador de Idosos;Desempregada(o);Alugado;Mulher Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Amigos/Parentes;Superior Incompleto;Preta;camareira ;Empregada(o) com carteira;Alugado;Mulher Cisgênero;Heterossexual;Espanhol;Solicitante de reconhecimento da condição de refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Ensino Técnico Completo;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Homem Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Fundamental Incompleto;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Português;Refugiado;Não;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Fundamental Incompleto;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Português;Refugiado;Não informado;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Fundamental Incompleto;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Completo;Branca;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Homem Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Completo;Branca;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Francês;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Completo;Prefere não declarar;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Homem Cisgênero;Não informado;Português;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Completo;Prefere não declarar;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Português;Refugiado;Não informado;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Completo;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Português;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Completo;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Português;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Incompleto;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Incompleto;Parda;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Homem Cisgênero;Não informado;Árabe;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Incompleto;Prefere não declarar;Não informado;Desempregada(o);Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Heterossexual;Lingala;Indocumentado / Irregular;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Incompleto;Preta;Não informado;Empregada(o) sem carteira;Ocupação;Homem Cisgênero;Heterossexual;Português;Solicitante de reconhecimento da condição de refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Médio Incompleto;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Não Alfabetizada(o);Parda;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Espanhol;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Não Declarado;Branca;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Árabe;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Não Declarado;Parda;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Não declarada;Não informado;Espanhol;Autorização de residência temporária;Não informado;Não informado;Acesso a serviços públicos;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Superior Completo;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Superior Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Não informado;Superior Incompleto;Branca;Não informado;Não informado;Alugado;Não declarada;Não informado;Árabe;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Outras instituições/organizações;Fundamental Incompleto;Prefere não declarar;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Português;Outra;Não informado;Não informado;Acolhimento para situações de vulnerabilidade e risco;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Outras instituições/organizações;Fundamental Incompleto;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Homem Cisgênero;Não informado;Português;Refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Outros serviços públicos;Médio Completo;Prefere não declarar;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Português;Refugiado;Não informado;Não informado;Acesso a programas de cidadania;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bela Vista;Outros serviços públicos;Não Declarado;Não declarado;Costureira;Desempregada(o);Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Heterossexual;Espanhol;Indocumentado / Irregular;Não;Dificuldade de acesso a serviços;Acolhimento para situações de vulnerabilidade e risco;1
2020;Primeiro Atendimento;Presencial;OUTRO;Belém;Amigos/Parentes;Médio Incompleto;Branca;vendedor ;Autônomo;Próprio;Homem Cisgênero;Heterossexual;Espanhol;Solicitante de reconhecimento da condição de refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Belém;Amigos/Parentes;Médio Incompleto;Parda;Técnico de Celular;Autônomo;Alugado;Outras identidades;Heterossexual;Árabe;Refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Belém;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Naturalizado brasileiro;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Belém;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Português;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Belém;Não informado;Superior Completo;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Árabe;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bom Retiro;Amigos/Parentes;Médio Incompleto;Parda;Não informado;Desempregada(o);Alugado;Não declarada;Heterossexual;Urdu;Autorização de residência por prazo indeterminado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bom Retiro;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bom Retiro;Não informado;Médio Incompleto;Indígena;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Português;Residente fronteiriço;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Bom Retiro;Não informado;Superior Completo;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Homem Cisgênero;Não informado;Português;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Brasilândia;Não informado;Médio Completo;Parda;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Brasilândia;Não informado;Não Declarado;Indígena;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Não declarada;Não informado;Espanhol;Indocumentado / Irregular;Sim;Trabalho escravo;Não informado;2
2020;Primeiro Atendimento;Presencial;OUTRO;Brás;Amigos/Parentes;Fundamental Incompleto;Preta;Não informado;Não informado;Alugado;Outras identidades;Não informado;Português;Visto;Não informado;Não informado;Regularização migratória;2
2020;Primeiro Atendimento;Presencial;OUTRO;Brás;Amigos/Parentes;Médio Completo;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não;Não informado;Orientações diversas;2
2020;Primeiro Atendimento;Presencial;OUTRO;Brás;Amigos/Parentes;Médio Completo;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Árabe;Visto;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Brás;Amigos/Parentes;Médio Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Francês;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Brás;Amigos/Parentes;Médio Completo;Preta;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Francês;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Brás;Amigos/Parentes;Superior Completo;Branca;Editada;Não trabalha;Próprio;Mulher Cisgênero;Não Declarada;Árabe;Solicitante de reconhecimento da condição de refugiado;Não;Violência moral;Acolhimento para situações de vulnerabilidade e risco;1
2020;Primeiro Atendimento;Presencial;OUTRO;Brás;Não informado;Fundamental Completo;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Brás;Não informado;Fundamental Completo;Preta;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Presencial;OUTRO;Brás;Não informado;Fundamental Incompleto;Branca;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Espanhol;Refugiado;Não informado;Não informado;Regularização migratória;2
